SHITOMASI + BRISK
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 10.9082, 3.00402
2, 12.622, 63.8475, 51.2255
3, 19.2468, -11.4731, 30.7199
4, 11.0284, 10.9782, 0.0501673
5, 13.1216, 13.6432, 0.521624
6, 11.2206, 13.6217, 2.40112
7, 15.3662, 13.497, 1.86921
8, 20.0258, 35.1513, 15.1255
9, 12.6129, 3.90277, 8.71012
10, 14.3845, -inf, inf
11, 10.5171, 11.6702, 1.15311
12, 10.5696, 11.6948, 1.12521
13, 8.68673, -inf, inf
14, 11.2842, 6.06984, 5.21434
15, 7.96017, -inf, inf
16, 9.02671, 6.60338, 2.42333
17, 9.77828, 12.5848, 2.80656
18, 10.641, -inf, inf

HARRIS + FREAK
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 9.74953, 4.16271
2, 12.622, -0.519552, 13.1415
3, 19.2468, nan, nan
4, 11.0284, 12.1284, 1.09998
5, 13.1216, 44.9166, 31.795
6, 11.2206, 15.5268, 4.30618
7, 15.3662, 13.342, 2.02422
8, 20.0258, 12.9162, 7.10964
9, 12.6129, 0.136149, 12.4767
10, 14.3845, 10.2931, 4.09143
11, 10.5171, 11.2142, 0.697105
12, 10.5696, -inf, inf
13, 8.68673, 13.4095, 4.72277
14, 11.2842, 12.4394, 1.15518
15, 7.96017, -25.2781, 33.2383
16, 9.02671, 6.98094, 2.04577
17, 9.77828, 11.7964, 2.0181
18, 10.641, 25.6763, 15.0353

HARRIS + SIFT
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, -inf, inf
2, 12.622, -18.6701, 31.2921
3, 19.2468, -20.0948, 39.3416
4, 11.0284, 10.9782, 0.0501673
5, 13.1216, 13.6432, 0.521624
6, 11.2206, 27.8744, 16.6538
7, 15.3662, 13.497, 1.86921
8, 20.0258, 17.6204, 2.40547
9, 12.6129, 16.2396, 3.62675
10, 14.3845, -13.4405, 27.8251
11, 10.5171, 11.1552, 0.638047
12, 10.5696, -inf, inf
13, 8.68673, 13.4327, 4.746
14, 11.2842, 5.85828, 5.4259
15, 7.96017, -13.6263, 21.5865
16, 9.02671, 7.21241, 1.8143
17, 9.77828, 11.7964, 2.0181
18, 10.641, -inf, inf

FAST + BRISK
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 12.3, 1.61224
2, 12.622, 12.309, 0.312995
3, 19.2468, 14.3428, 4.90396
4, 11.0284, 12.7004, 1.67198
5, 13.1216, 47.3039, 34.1823
6, 11.2206, 13.2481, 2.02748
7, 15.3662, 29.3182, 13.952
8, 20.0258, 11.2085, 8.81733
9, 12.6129, 13.375, 0.762097
10, 14.3845, 13.0801, 1.30446
11, 10.5171, 14.0835, 3.5664
12, 10.5696, 11.4832, 0.913623
13, 8.68673, 12.3705, 3.68375
14, 11.2842, 12.0431, 0.758907
15, 7.96017, 11.7034, 3.74323
16, 9.02671, 11.9434, 2.91664
17, 9.77828, 8.23767, 1.54062
18, 10.641, 11.7502, 1.10925

FAST + BRIEF
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 10.7101, 3.20219
2, 12.622, 11.0063, 1.61562
3, 19.2468, 14.1559, 5.09086
4, 11.0284, 14.3886, 3.36019
5, 13.1216, 20.0387, 6.91709
6, 11.2206, 13.293, 2.07241
7, 15.3662, 12.2182, 3.14803
8, 20.0258, 12.7596, 7.26627
9, 12.6129, 12.6, 0.0128896
10, 14.3845, 13.4681, 0.916475
11, 10.5171, 13.7533, 3.2362
12, 10.5696, 10.974, 0.404373
13, 8.68673, 12.3343, 3.64758
14, 11.2842, 11.2431, 0.041035
15, 7.96017, 11.8747, 3.91449
16, 9.02671, 11.8398, 2.81313
17, 9.77828, 7.92013, 1.85816
18, 10.641, 11.554, 0.913018

FAST + ORB
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 11.0105, 2.90174
2, 12.622, 10.7587, 1.86328
3, 19.2468, 11.4167, 7.83005
4, 11.0284, 12.8528, 1.82437
5, 13.1216, 18.0923, 4.97073
6, 11.2206, 12.9991, 1.77854
7, 15.3662, 11.6025, 3.76369
8, 20.0258, 11.1687, 8.85718
9, 12.6129, 12.1119, 0.500967
10, 14.3845, 13.3607, 1.02387
11, 10.5171, 13.3611, 2.84396
12, 10.5696, 10.8955, 0.325942
13, 8.68673, 12.0411, 3.35441
14, 11.2842, 10.8785, 0.405687
15, 7.96017, 11.2058, 3.24564
16, 9.02671, 11.1948, 2.1681
17, 9.77828, 7.86906, 1.90922
18, 10.641, 10.8512, 0.210273

FAST + FREAK
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 12.3379, 1.57438
2, 12.622, 16.825, 4.20307
3, 19.2468, 15.6456, 3.60118
4, 11.0284, 14.293, 3.26464
5, 13.1216, 15.1148, 1.99319
6, 11.2206, 12.9931, 1.77248
7, 15.3662, 13.2153, 2.1509
8, 20.0258, 11.8211, 8.20475
9, 12.6129, 12.2131, 0.399828
10, 14.3845, 12.7001, 1.6844
11, 10.5171, 13.1, 2.58288
12, 10.5696, 11.7095, 1.13991
13, 8.68673, 12.0033, 3.31659
14, 11.2842, 11.5103, 0.226105
15, 7.96017, 11.4314, 3.47127
16, 9.02671, 12.4051, 3.37834
17, 9.77828, 8.50601, 1.27227
18, 10.641, 11.9975, 1.35654

FAST + SIFT
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 12.478, 1.43423
2, 12.622, 10.7133, 1.9087
3, 19.2468, 13.5287, 5.71809
4, 11.0284, 13.995, 2.96656
5, 13.1216, 26.3629, 13.2414
6, 11.2206, 12.9067, 1.68614
7, 15.3662, 13.4674, 1.89877
8, 20.0258, 13.7045, 6.32133
9, 12.6129, 12.9798, 0.36691
10, 14.3845, 14.0994, 0.285131
11, 10.5171, 15.4345, 4.91734
12, 10.5696, 11.6857, 1.11613
13, 8.68673, 12.3292, 3.64242
14, 11.2842, 11.5045, 0.220288
15, 7.96017, 11.4035, 3.44332
16, 9.02671, 11.1505, 2.12374
17, 9.77828, 7.68791, 2.09037
18, 10.641, 12.0558, 1.41481

BRISK + BRISK
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 17.4836, 3.57134
2, 12.622, 15.5366, 2.91463
3, 19.2468, 19.2234, 0.0234019
4, 11.0284, 21.3012, 10.2728
5, 13.1216, 73.2489, 60.1273
6, 11.2206, 12.6176, 1.39706
7, 15.3662, 17.36, 1.99379
8, 20.0258, 11.1, 8.92582
9, 12.6129, 11.9786, 0.63432
10, 14.3845, 13.3055, 1.07908
11, 10.5171, 8.49484, 2.02228
12, 10.5696, 5416.2, 5405.63
13, 8.68673, 8.33753, 0.349194
14, 11.2842, 9.26013, 2.02405
15, 7.96017, 9.65484, 1.69467
16, 9.02671, 9.37082, 0.344109
17, 9.77828, 14.3156, 4.53736
18, 10.641, 20.1038, 9.46288

BRISK + BRIEF
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 16.4808, 2.56857
2, 12.622, 16.969, 4.34701
3, 19.2468, 30.925, 11.6783
4, 11.0284, 25.2172, 14.1887
5, 13.1216, 25.429, 12.3075
6, 11.2206, 18.2578, 7.03722
7, 15.3662, 40.0236, 24.6574
8, 20.0258, 31.8478, 11.8219
9, 12.6129, 271.325, 258.712
10, 14.3845, 15.4348, 1.05024
11, 10.5171, 10.4394, 0.0777175
12, 10.5696, 16.6093, 6.03966
13, 8.68673, 10.7998, 2.11304
14, 11.2842, 8.40597, 2.87821
15, 7.96017, 10.5289, 2.56875
16, 9.02671, 13.4955, 4.46879
17, 9.77828, 17.2956, 7.51732
18, 10.641, 13.275, 2.63399

BRISK + ORB
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 24.7809, 10.8687
2, 12.622, 10.6668, 1.95521
3, 19.2468, 14.598, 4.64872
4, 11.0284, 22.1695, 11.1411
5, 13.1216, 37.6838, 24.5622
6, 11.2206, 10.7979, 0.422725
7, 15.3662, 40.3549, 24.9887
8, 20.0258, 10.9114, 9.11441
9, 12.6129, 18.651, 6.03811
10, 14.3845, 14.6914, 0.306895
11, 10.5171, 9.00578, 1.51134
12, 10.5696, -inf, inf
13, 8.68673, 9.26406, 0.577331
14, 11.2842, 10.9931, 0.29109
15, 7.96017, 12.9444, 4.98423
16, 9.02671, 9.54136, 0.514652
17, 9.77828, 25.6425, 15.8643
18, 10.641, 23.7299, 13.0889

BRISK + FREAK
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 11.9371, 1.97512
2, 12.622, 25.2016, 12.5796
3, 19.2468, 17.7441, 1.50266
4, 11.0284, 11.2797, 0.25126
5, 13.1216, 52.139, 39.0174
6, 11.2206, 35.7942, 24.5736
7, 15.3662, 127.591, 112.225
8, 20.0258, 9.38588, 10.64
9, 12.6129, 13.3292, 0.716263
10, 14.3845, -545.044, 559.428
11, 10.5171, 8.40781, 2.1093
12, 10.5696, -inf, inf
13, 8.68673, 7.03048, 1.65624
14, 11.2842, 55.7876, 44.5034
15, 7.96017, 8.72363, 0.763456
16, 9.02671, 11.1021, 2.07536
17, 9.77828, -inf, inf
18, 10.641, 24.1855, 13.5445

BRISK + SIFT
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 16.8218, 2.90961
2, 12.622, 11.2445, 1.3775
3, 19.2468, 19.2234, 0.0234019
4, 11.0284, -inf, inf
5, 13.1216, 66.8315, 53.7099
6, 11.2206, 12.9378, 1.71723
7, 15.3662, 41.7177, 26.3516
8, 20.0258, 10.8638, 9.16203
9, 12.6129, 12.2889, 0.324036
10, 14.3845, 12.028, 2.35651
11, 10.5171, 9.20223, 1.31488
12, 10.5696, -inf, inf
13, 8.68673, 9.31136, 0.624635
14, 11.2842, 13.7643, 2.48013
15, 7.96017, 13.6989, 5.73877
16, 9.02671, 10.0366, 1.00993
17, 9.77828, 18.7334, 8.95507
18, 10.641, 15.7727, 5.13176

ORB + BRISK
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 13.9354, 0.0231892
2, 12.622, 14.6313, 2.00928
3, 19.2468, 11.9318, 7.31496
4, 11.0284, 15.5311, 4.5027
5, 13.1216, 26.8377, 13.7161
6, 11.2206, 14.2475, 3.02687
7, 15.3662, 18.1356, 2.76939
8, 20.0258, 17.1048, 2.92104
9, 12.6129, 15.1063, 2.49346
10, 14.3845, 14.2575, 0.127067
11, 10.5171, 13.0458, 2.52871
12, 10.5696, 11.5799, 1.01027
13, 8.68673, 12.6288, 3.9421
14, 11.2842, 11.3714, 0.0871843
15, 7.96017, 12.1932, 4.23299
16, 9.02671, 10.3542, 1.32753
17, 9.77828, 9.3492, 0.429081
18, 10.641, 10.5758, 0.0651585

ORB + BRIEF
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 13.7134, 0.198799
2, 12.622, 18.4095, 5.78755
3, 19.2468, 12.4078, 6.83896
4, 11.0284, 19.8631, 8.83467
5, 13.1216, 27.574, 14.4524
6, 11.2206, 19.1942, 7.97358
7, 15.3662, 17.9009, 2.53471
8, 20.0258, 18.3884, 1.63748
9, 12.6129, 14.9617, 2.34877
10, 14.3845, 12.0464, 2.33817
11, 10.5171, 11.5343, 1.01718
12, 10.5696, 14.3096, 3.74004
13, 8.68673, 12.8926, 4.20584
14, 11.2842, 10.3194, 0.964787
15, 7.96017, 11.1036, 3.14346
16, 9.02671, 13.047, 4.02031
17, 9.77828, 11.1959, 1.41764
18, 10.641, 9.60206, 1.0389

ORB + ORB
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 13.6901, 0.22219
2, 12.622, 15.8645, 3.2425
3, 19.2468, 12.8613, 6.3855
4, 11.0284, 17.0807, 6.05232
5, 13.1216, 20.6383, 7.51675
6, 11.2206, 15.4115, 4.19092
7, 15.3662, 18.9386, 3.57239
8, 20.0258, 15.2256, 4.80027
9, 12.6129, 12.6044, 0.00846394
10, 14.3845, 12.3703, 2.01421
11, 10.5171, 12.4638, 1.94667
12, 10.5696, 10.6188, 0.0491971
13, 8.68673, 11.8618, 3.17503
14, 11.2842, 11.0813, 0.202889
15, 7.96017, 11.9431, 3.98292
16, 9.02671, 10.1962, 1.16946
17, 9.77828, 9.65027, 0.128017
18, 10.641, 10.5199, 0.121046

ORB + FREAK
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 14.0357, 0.123414
2, 12.622, 22.3822, 9.76018
3, 19.2468, 15.5832, 3.66356
4, 11.0284, 13.6048, 2.57642
5, 13.1216, 24.9967, 11.8751
6, 11.2206, 15.5497, 4.3291
7, 15.3662, 14.3446, 1.02158
8, 20.0258, 17.0214, 3.00447
9, 12.6129, 18.0824, 5.46951
10, 14.3845, 13.6278, 0.756712
11, 10.5171, 12.7129, 2.19582
12, 10.5696, 12.4794, 1.90978
13, 8.68673, 12.3611, 3.67437
14, 11.2842, 11.7987, 0.514558
15, 7.96017, 12.425, 4.46481
16, 9.02671, 10.1257, 1.09896
17, 9.77828, 8.8349, 0.943383
18, 10.641, 10.6058, 0.0351712

ORB + SIFT
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 14.4946, 0.582353
2, 12.622, 14.494, 1.87198
3, 19.2468, 17.8004, 1.44636
4, 11.0284, 18.1289, 7.10052
5, 13.1216, 33.9473, 20.8257
6, 11.2206, 16.0735, 4.85291
7, 15.3662, 16.2777, 0.911461
8, 20.0258, 17.7145, 2.31137
9, 12.6129, 15.5809, 2.96799
10, 14.3845, 14.1491, 0.235474
11, 10.5171, 12.2442, 1.72704
12, 10.5696, 13.0404, 2.47077
13, 8.68673, 12.6708, 3.98405
14, 11.2842, 10.5063, 0.777877
15, 7.96017, 13.4108, 5.45068
16, 9.02671, 10.1531, 1.12638
17, 9.77828, 10.9931, 1.21478
18, 10.641, 13.2817, 2.64078

AKAZE + BRISK
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 13.9354, 0.0231892
2, 12.622, 14.6313, 2.00928
3, 19.2468, 11.9318, 7.31496
4, 11.0284, 15.5311, 4.5027
5, 13.1216, 26.8377, 13.7161
6, 11.2206, 14.2475, 3.02687
7, 15.3662, 18.1356, 2.76939
8, 20.0258, 17.1048, 2.92104
9, 12.6129, 15.1063, 2.49346
10, 14.3845, 14.2575, 0.127067
11, 10.5171, 13.0458, 2.52871
12, 10.5696, 11.5799, 1.01027
13, 8.68673, 12.6288, 3.9421
14, 11.2842, 11.3714, 0.0871843
15, 7.96017, 12.1932, 4.23299
16, 9.02671, 10.3542, 1.32753
17, 9.77828, 9.3492, 0.429081
18, 10.641, 10.5758, 0.0651585

AKAZE + BRIEF
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 13.7134, 0.198799
2, 12.622, 18.4095, 5.78755
3, 19.2468, 12.4078, 6.83896
4, 11.0284, 19.8631, 8.83467
5, 13.1216, 27.574, 14.4524
6, 11.2206, 19.1942, 7.97358
7, 15.3662, 17.9009, 2.53471
8, 20.0258, 18.3884, 1.63748
9, 12.6129, 14.9617, 2.34877
10, 14.3845, 12.0464, 2.33817
11, 10.5171, 11.5343, 1.01718
12, 10.5696, 14.3096, 3.74004
13, 8.68673, 12.8926, 4.20584
14, 11.2842, 10.3194, 0.964787
15, 7.96017, 11.1036, 3.14346
16, 9.02671, 13.047, 4.02031
17, 9.77828, 11.1959, 1.41764
18, 10.641, 9.60206, 1.0389

AKAZE + ORB
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 13.6901, 0.22219
2, 12.622, 15.8645, 3.2425
3, 19.2468, 12.8613, 6.3855
4, 11.0284, 17.0807, 6.05232
5, 13.1216, 20.6383, 7.51675
6, 11.2206, 15.4115, 4.19092
7, 15.3662, 18.9386, 3.57239
8, 20.0258, 15.2256, 4.80027
9, 12.6129, 12.6044, 0.00846394
10, 14.3845, 12.3703, 2.01421
11, 10.5171, 12.4638, 1.94667
12, 10.5696, 10.6188, 0.0491971
13, 8.68673, 11.8618, 3.17503
14, 11.2842, 11.0813, 0.202889
15, 7.96017, 11.9431, 3.98292
16, 9.02671, 10.1962, 1.16946
17, 9.77828, 9.65027, 0.128017
18, 10.641, 10.5199, 0.121046

AKAZE + FREAK
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 14.0357, 0.123414
2, 12.622, 22.3822, 9.76018
3, 19.2468, 15.5832, 3.66356
4, 11.0284, 13.6048, 2.57642
5, 13.1216, 24.9967, 11.8751
6, 11.2206, 15.5497, 4.3291
7, 15.3662, 14.3446, 1.02158
8, 20.0258, 17.0214, 3.00447
9, 12.6129, 18.0824, 5.46951
10, 14.3845, 13.6278, 0.756712
11, 10.5171, 12.7129, 2.19582
12, 10.5696, 12.4794, 1.90978
13, 8.68673, 12.3611, 3.67437
14, 11.2842, 11.7987, 0.514558
15, 7.96017, 12.425, 4.46481
16, 9.02671, 10.1257, 1.09896
17, 9.77828, 8.8349, 0.943383
18, 10.641, 10.6058, 0.0351712

AKAZE + SIFT
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 14.4946, 0.582353
2, 12.622, 14.494, 1.87198
3, 19.2468, 17.8004, 1.44636
4, 11.0284, 18.1289, 7.10052
5, 13.1216, 33.9473, 20.8257
6, 11.2206, 16.0735, 4.85291
7, 15.3662, 16.2777, 0.911461
8, 20.0258, 17.7145, 2.31137
9, 12.6129, 15.5809, 2.96799
10, 14.3845, 14.1491, 0.235474
11, 10.5171, 12.2442, 1.72704
12, 10.5696, 13.0404, 2.47077
13, 8.68673, 12.6708, 3.98405
14, 11.2842, 10.5063, 0.777877
15, 7.96017, 13.4108, 5.45068
16, 9.02671, 10.1531, 1.12638
17, 9.77828, 10.9931, 1.21478
18, 10.641, 13.2817, 2.64078

SIFT + BRISK
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 13.9354, 0.0231892
2, 12.622, 14.6313, 2.00928
3, 19.2468, 11.9318, 7.31496
4, 11.0284, 15.5311, 4.5027
5, 13.1216, 26.8377, 13.7161
6, 11.2206, 14.2475, 3.02687
7, 15.3662, 18.1356, 2.76939
8, 20.0258, 17.1048, 2.92104
9, 12.6129, 15.1063, 2.49346
10, 14.3845, 14.2575, 0.127067
11, 10.5171, 13.0458, 2.52871
12, 10.5696, 11.5799, 1.01027
13, 8.68673, 12.6288, 3.9421
14, 11.2842, 11.3714, 0.0871843
15, 7.96017, 12.1932, 4.23299
16, 9.02671, 10.3542, 1.32753
17, 9.77828, 9.3492, 0.429081
18, 10.641, 10.5758, 0.0651585

SIFT + BRIEF
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 13.7134, 0.198799
2, 12.622, 18.4095, 5.78755
3, 19.2468, 12.4078, 6.83896
4, 11.0284, 19.8631, 8.83467
5, 13.1216, 27.574, 14.4524
6, 11.2206, 19.1942, 7.97358
7, 15.3662, 17.9009, 2.53471
8, 20.0258, 18.3884, 1.63748
9, 12.6129, 14.9617, 2.34877
10, 14.3845, 12.0464, 2.33817
11, 10.5171, 11.5343, 1.01718
12, 10.5696, 14.3096, 3.74004
13, 8.68673, 12.8926, 4.20584
14, 11.2842, 10.3194, 0.964787
15, 7.96017, 11.1036, 3.14346
16, 9.02671, 13.047, 4.02031
17, 9.77828, 11.1959, 1.41764
18, 10.641, 9.60206, 1.0389

SIFT + FREAK
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 14.0357, 0.123414
2, 12.622, 22.3822, 9.76018
3, 19.2468, 15.5832, 3.66356
4, 11.0284, 13.6048, 2.57642
5, 13.1216, 24.9967, 11.8751
6, 11.2206, 15.5497, 4.3291
7, 15.3662, 14.3446, 1.02158
8, 20.0258, 17.0214, 3.00447
9, 12.6129, 18.0824, 5.46951
10, 14.3845, 13.6278, 0.756712
11, 10.5171, 12.7129, 2.19582
12, 10.5696, 12.4794, 1.90978
13, 8.68673, 12.3611, 3.67437
14, 11.2842, 11.7987, 0.514558
15, 7.96017, 12.425, 4.46481
16, 9.02671, 10.1257, 1.09896
17, 9.77828, 8.8349, 0.943383
18, 10.641, 10.6058, 0.0351712

SIFT + SIFT
Index, Lidar TTC, Camera TTC, Error
1, 13.9122, 14.4946, 0.582353
2, 12.622, 14.494, 1.87198
3, 19.2468, 17.8004, 1.44636
4, 11.0284, 18.1289, 7.10052
5, 13.1216, 33.9473, 20.8257
6, 11.2206, 16.0735, 4.85291
7, 15.3662, 16.2777, 0.911461
8, 20.0258, 17.7145, 2.31137
9, 12.6129, 15.5809, 2.96799
10, 14.3845, 14.1491, 0.235474
11, 10.5171, 12.2442, 1.72704
12, 10.5696, 13.0404, 2.47077
13, 8.68673, 12.6708, 3.98405
14, 11.2842, 10.5063, 0.777877
15, 7.96017, 13.4108, 5.45068
16, 9.02671, 10.1531, 1.12638
17, 9.77828, 10.9931, 1.21478
18, 10.641, 13.2817, 2.64078
